# iter time(ns) max_DgradR max_DgradZ max_vRrho max_vZrho
288 22.119 8.5004121328e-03 1.4370316357e-02 4.6642425369e+00 3.8342596353e+00
289 22.196 8.4544176476e-03 1.4312683213e-02 4.6585351189e+00 3.8210369283e+00
290 22.274 8.3967540352e-03 1.4214085817e-02 4.6412581663e+00 3.8068659772e+00
291 22.351 8.3888571538e-03 1.4201173032e-02 4.6158597283e+00 3.7865321172e+00
292 22.428 8.3562448914e-03 1.4175478926e-02 4.6120028501e+00 3.7749683108e+00
293 22.506 8.2933141095e-03 1.4097300242e-02 4.5990671135e+00 3.7643802871e+00
294 22.583 8.2750336171e-03 1.4038978143e-02 4.5748675607e+00 3.7438851758e+00
295 22.660 8.2545977935e-03 1.4015530399e-02 4.5641583696e+00 3.7280456274e+00
296 22.738 8.2014500758e-03 1.3968236507e-02 4.5554134684e+00 3.7209027135e+00
297 22.815 8.1779484526e-03 1.3929625672e-02 4.5348086917e+00 3.7040725464e+00
298 22.892 8.1511966787e-03 1.3851147958e-02 4.5227590464e+00 3.6860445355e+00
299 22.970 8.1102376163e-03 1.3819801336e-02 4.5103174387e+00 3.6764567038e+00
300 23.047 8.0803466367e-03 1.3797199395e-02 4.4940069832e+00 3.6631617009e+00
